VM_Name,Powerstate,Datacenter,Cluster,Host,OS_Version,vCPU,Memory_GB,Storage_TB,CPU_P95_Pct,Environment,Application,Database_Engine,Software_Stack,Network_VLAN,Annual_Cost_USD
VM_PAY_DB2_02,poweredOn,DC-DR-02,CLS-DB-TIER-DR,esxi-dr-01.corp.local,Red Hat Enterprise Linux 8 (64-bit),32,256,14.0,39,Production,Core Banking & Payment Switch (ISO-20022),IBM DB2 11.5,IBM DB2 11.5 HADR Synchronous Standby,VLAN-150-FIN,148000
VM_PAY_MQ_01,poweredOn,DC-PRIMARY-01,CLS-MISSION-CRIT,esxi-mc-03.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,64,3.0,35,Production,Core Banking & Payment Switch (ISO-20022),None,IBM WebSphere ND 9.0 & IBM MQ 9.2 SWIFT Gateway,VLAN-151-SWF,66000
VM_PAY_MQ_02,poweredOn,DC-PRIMARY-01,CLS-MISSION-CRIT,esxi-mc-04.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,64,3.0,33,Production,Core Banking & Payment Switch (ISO-20022),None,IBM WebSphere ND 9.0 & IBM MQ 9.2 ISO-20022 Processor,VLAN-151-SWF,66000
VM_CRM_WEB_01,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-03.corp.local,Windows Server 2016 Standard,8,32,1.5,18,Production,Omnichannel CRM & Contact Center Suite,None,Microsoft Dynamics 365 On-Premises Front-End IIS,VLAN-160-CRM,32000
VM_CRM_WEB_02,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-04.corp.local,Windows Server 2016 Standard,8,32,1.5,17,Production,Omnichannel CRM & Contact Center Suite,None,Microsoft Dynamics 365 Async Processing & CTI Adapter,VLAN-160-CRM,32000
VM_CRM_SQL_01,poweredOn,DC-PRIMARY-01,CLS-DB-TIER,esxi-db-02.corp.local,Windows Server 2016 Datacenter,16,64,8.0,21,Production,Omnichannel CRM & Contact Center Suite,SQL Server 2016,SQL Server 2016 Standard CRM Organization DB,VLAN-120-DB,62000
VM_CRM_DEV_01,poweredOn,DC-PRIMARY-01,CLS-NONPROD,esxi-dev-02.corp.local,Windows Server 2016 Standard,8,32,2.0,9,Non-Production,Omnichannel CRM & Contact Center Suite,SQL Server 2016,Dynamics 365 Sandbox & Customization Test VM,VLAN-260-CRM-DEV,25000
VM_KAFKA_01,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-05.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,64,8.0,52,Production,Enterprise Integration Bus & Kafka Event Mesh,None,Apache Kafka 3.5 / Confluent Event Broker Node 1,VLAN-170-MESH,56000
VM_KAFKA_02,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-06.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,64,8.0,49,Production,Enterprise Integration Bus & Kafka Event Mesh,None,Apache Kafka 3.5 / Confluent Event Broker Node 2,VLAN-170-MESH,56000
VM_KAFKA_03,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-01.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,64,8.0,47,Production,Enterprise Integration Bus & Kafka Event Mesh,None,Apache Kafka 3.5 / Confluent Event Broker Node 3,VLAN-170-MESH,56000
VM_MULE_GW_01,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-02.corp.local,Red Hat Enterprise Linux 8 (64-bit),8,32,2.0,26,Production,Enterprise Integration Bus & Kafka Event Mesh,None,MuleSoft Runtime 4.4 & RabbitMQ ESB Bridge,VLAN-170-MESH,36000
VM_MAXIMO_APP_01,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-03.corp.local,Red Hat Enterprise Linux 7 (64-bit),8,32,2.5,19,Production,Supply Chain & Asset Management (Maximo),None,IBM Maximo 7.6.1 Asset Management WebSphere Node 1,VLAN-180-ERP,34000
VM_MAXIMO_APP_02,poweredOn,DC-PRIMARY-01,CLS-APP-PROD,esxi-app-04.corp.local,Red Hat Enterprise Linux 7 (64-bit),8,32,2.5,16,Production,Supply Chain & Asset Management (Maximo),None,IBM Maximo 7.6.1 Asset Management WebSphere Node 2,VLAN-180-ERP,34000
VM_MAXIMO_ORA_01,poweredOn,DC-PRIMARY-01,CLS-DB-TIER,esxi-db-03.corp.local,Red Hat Enterprise Linux 7 (64-bit),16,64,6.5,22,Production,Supply Chain & Asset Management (Maximo),Oracle Database 12c,Oracle Database 12c R2 (12.2.0.1) Asset Repository,VLAN-120-DB,68000
VM_SEC_AD_01,poweredOn,DC-PRIMARY-01,CLS-SEC-CORE,esxi-sec-01.corp.local,Windows Server 2019 Datacenter,8,32,1.5,18,Production,Active Directory PKI & Cyber Security Core,None,Active Directory Domain Services (ADDS) & DNS Primary,VLAN-190-SEC,32000
VM_SEC_PKI_02,poweredOn,DC-DR-02,CLS-SEC-CORE-DR,esxi-dr-02.corp.local,Windows Server 2019 Datacenter,8,32,1.5,14,Production,Active Directory PKI & Cyber Security Core,None,Active Directory Certificate Services (ADCS) Enterprise Root CA,VLAN-190-SEC,32000
VM_SEC_SIEM_01,poweredOn,DC-PRIMARY-01,CLS-SEC-CORE,esxi-sec-01.corp.local,Red Hat Enterprise Linux 8 (64-bit),16,64,12.0,58,Production,Active Directory PKI & Cyber Security Core,None,Splunk Heavy Forwarder & Syslog Telemetry Collector,VLAN-190-SEC,64000
VM_LEG_HR_01,poweredOn,DC-PRIMARY-01,CLS-LEGACY,esxi-leg-01.corp.local,Windows Server 2012 R2 Standard,8,16,2.0,8,Production,Legacy HR & Payroll Archival System,None,Apache Tomcat 7 / Java 7 Legacy Payroll Archive UI,VLAN-195-LEG,24000
VM_LEG_DB_01,poweredOn,DC-PRIMARY-01,CLS-LEGACY,esxi-leg-01.corp.local,CentOS Linux 7 (64-bit),8,32,4.5,7,Production,Legacy HR & Payroll Archival System,MySQL 5.6,MySQL 5.6.51 Read-Only Historical Payroll DB,VLAN-195-LEG,28000
VM_ZOMBIE_048,poweredOn,DC-PRIMARY-01,CLS-NONPROD,esxi-dev-01.corp.local,Windows Server 2008 R2 Enterprise,8,32,2.0,2,Non-Production,Decommissioned Sandbox & Orphaned Zombie VMs,None,Orphaned 2019 ERP Cutover Test Clone (Idle <5% CPU),VLAN-299-SANDBOX,24000
VM_ZOMBIE_049,poweredOn,DC-PRIMARY-01,CLS-NONPROD,esxi-dev-02.corp.local,Windows Server 2008 R2 Enterprise,8,32,2.5,1,Non-Production,Decommissioned Sandbox & Orphaned Zombie VMs,MySQL 5.6,Deprecated Vendor POC Server (No Active Connections),VLAN-299-SANDBOX,24000
VM_ZOMBIE_050,poweredOn,DC-PRIMARY-01,CLS-NONPROD,esxi-dev-02.corp.local,CentOS Linux 7 (64-bit),8,16,1.5,3,Non-Production,Decommissioned Sandbox & Orphaned Zombie VMs,None,Abandoned Jenkins Build Slave & Temp Artifact Host,VLAN-299-SANDBOX,18000
